LANDING_YEAR,PORT_NAME,SDM_90,AGENCY_CODE
2008,PLAYA DEL REY,4.090387389,C
2008,POINT LOMA,3.326068426,C
2008,PORT HUENEME,4.005314984,C
2008,PORT ORFORD,1.455661809,O
2008,PRINCETON / HALF MOON BAY,0.729831085,C
2008,REDONDO BEACH,4.093706339,C
2008,RICHMOND,0.916992389,C
2008,SAN DIEGO,3.228594501,C
2008,SAN FRANCISCO,0.853156961,C
2008,SAN PEDRO,4.054326146,C
2008,SAN SIMEON,0.901691941,C
2008,SANTA BARBARA,3.787831691,C
2008,SANTA CRUZ,0.751395189,C
2008,SANTA MONICA,4.222297432,C
2008,SAUSALITO,0.596982996,C
2008,SEAL BEACH,4.137560663,C
2008,SHELTER COVE,0.283645126,C
2008,SOUTH SAN FRANCISCO,0.784117132,C
2008,TACOMA,NA,W
2008,TERMINAL ISLAND,4.075707101,C
2008,THE DALLES,NA,W
2008,VALLEJO,1.136965677,C
2008,VENTURA,4.070602,C
2008,WESTPORT,NA,W
2008,WHIDBY ISLAND,NA,W
2008,WILLOW CREEK,1.951268261,C
2008,WILMINGTON,4.090387389,C
2008,WINCHESTER BAY,4.299010504,O
2009,ABERDEEN,NA,W
2009,ALAMEDA,1.968394795,C
2009,ANACORTES,NA,W
2009,ASTORIA,NA,O
2009,AVALON,3.963468852,C
2009,AVILA,4.019338869,C
2009,BELLINGHAM BAY,NA,W
2009,BERKELEY,2.015493538,C
2009,BODEGA BAY,0.817784211,C
2009,CATALINA ISLAND,3.967181882,C
2009,CHARLESTON (COOS BAY),0.892946071,O
2009,CHINOOK,NA,W
2009,CRESCENT CITY,0.728892513,C
2009,DANA POINT,4.042470479,C
2009,DILLON BEACH,0.933100643,C
2009,EMERYVILLE,1.968206952,C
2009,EUREKA,0.380403427,C
2009,FIELDS LANDING,0.302918415,C
2009,FORT BRAGG,0.256926473,C
2009,GARIBALDI (TILLAMOOK),NA,O
2009,GAVIOTA,3.491708082,C
2009,GOLETA,3.664952544,C
2009,GUADALUPE,3.91476932,C
2009,HUMBOLDT,0.478183161,C
2009,HUNTINGTON BEACH,4.209143963,C
2009,ILWACO,NA,W
2009,LACONNER,NA,W
2009,LONG BEACH,4.243734802,C
2009,LOS ANGELES,4.490239031,C
2009,MISSION BAY,3.377409851,C
2009,MONTEREY,2.266903556,C
2009,MORRO BAY,4.115828142,C
2009,MOSS LANDING,2.215129792,C
2009,NASELLE,NA,W
2009,NATIONAL CITY,3.433886487,C
2009,NEAH BAY,NA,W
2009,NEWPORT,NA,O
2009,NEWPORT BEACH,4.177902074,C
2009,OCEANSIDE,3.729742727,C
2009,OXNARD,4.23539583,C
2009,PLAYA DEL REY,4.243734802,C
2009,POINT LOMA,3.36186437,C
2009,PORT HUENEME,4.193780507,C
2009,PORT ORFORD,0.619826353,O
2009,PRINCETON / HALF MOON BAY,1.533518896,C
2009,REDONDO BEACH,4.254834396,C
2009,RICHMOND,1.785962003,C
2009,SAN DIEGO,3.250042359,C
2009,SAN FRANCISCO,1.698279289,C
2009,SAN PEDRO,4.204150257,C
2009,SAN SIMEON,3.702676161,C
2009,SANTA BARBARA,3.98863936,C
2009,SANTA CRUZ,1.83430536,C
2009,SANTA MONICA,4.392893782,C
2009,SAUSALITO,1.223309192,C
2009,SEAL BEACH,4.268918285,C
2009,SHELTER COVE,0.225763715,C
2009,SOUTH SAN FRANCISCO,1.607811852,C
2009,TACOMA,NA,W
2009,TERMINAL ISLAND,4.223847197,C
2009,THE DALLES,NA,W
2009,VALLEJO,2.091540424,C
2009,VENTURA,4.25208868,C
2009,WESTPORT,NA,W
2009,WHIDBY ISLAND,NA,W
2009,WILLOW CREEK,0.838224055,C
2009,WILMINGTON,4.243734802,C
2009,WINCHESTER BAY,1.90653684,O
2010,ABERDEEN,NA,W
2010,ALAMEDA,0.739700118,C
2010,ANACORTES,NA,W
2010,ASTORIA,NA,O
2010,AVALON,2.293614063,C
2010,AVILA,0.799256964,C
2010,BELLINGHAM BAY,NA,W
2010,BERKELEY,0.75525454,C
2010,BODEGA BAY,0.242926648,C
2010,CATALINA ISLAND,2.299955144,C
2010,CHARLESTON (COOS BAY),1.226688919,O
2010,CHINOOK,NA,W
2010,CRESCENT CITY,1.089578505,C
2010,DANA POINT,2.594422604,C
2010,DILLON BEACH,0.282791636,C
2010,EMERYVILLE,0.744174695,C
2010,EUREKA,0.558267652,C
2010,FIELDS LANDING,0.446577103,C
2010,FORT BRAGG,0.096978307,C
2010,GARIBALDI (TILLAMOOK),NA,O
2010,GAVIOTA,1.516322449,C
2010,GOLETA,1.900356371,C
2010,GUADALUPE,1.033915235,C
2010,HUMBOLDT,0.689519856,C
2010,HUNTINGTON BEACH,2.63878775,C
2010,ILWACO,NA,W
2010,LACONNER,NA,W
2010,LONG BEACH,2.602904732,C
2010,LOS ANGELES,2.827596482,C
2010,MISSION BAY,2.277963276,C
2010,MONTEREY,0.361709369,C
2010,MORRO BAY,0.734564355,C
2010,MOSS LANDING,0.49358844,C
2010,NASELLE,NA,W
2010,NATIONAL CITY,2.31335208,C
2010,NEAH BAY,NA,W
