LANDING_YEAR,PORT_NAME,AGENCY_CODE,SDM_90_JS_CPUE
2008,OXNARD,C,4.232792132655906
2008,PLAYA DEL REY,C,4.220175468165403
2008,POINT LOMA,C,3.3751344917574984
2008,PORT HUENEME,C,4.189041345147978
2008,PRINCETON / HALF MOON BAY,C,0.6101311306397652
2008,REDONDO BEACH,C,4.221639436348849
2008,SAN DIEGO,C,3.3030437798027883
2008,SAN FRANCISCO,C,0.6471714394605252
2008,SAN PEDRO,C,4.179983435718187
2008,SAN SIMEON,C,0.7561234970052494
2008,SANTA BARBARA,C,3.941851882708643
2008,SANTA CRUZ,C,0.629342628104289
2008,SANTA MONICA,C,4.354599554370028
2008,SEAL BEACH,C,4.240845080704906
2008,TACOMA,W,NA
2008,TERMINAL ISLAND,C,4.19754052116435
2008,VALLEJO,C,0.8240409590032988
2008,VENTURA,C,4.250065327147236
2008,WESTPORT,W,NA
2008,WILLOW CREEK,C,2.028602019351728
2008,WILMINGTON,C,4.220175468165403
2008,WINCHESTER BAY,O,3.476790462644547
2009,ABERDEEN,W,NA
2009,ALAMEDA,C,1.6567172276532869
2009,ANACORTES,W,NA
2009,ASTORIA,O,NA
2009,AVALON,C,3.847690992491753
2009,AVILA,C,3.823179394856067
2009,BELLINGHAM BAY,W,NA
2009,BERKELEY,C,1.716342241310068
2009,BODEGA BAY,C,0.6588389601611018
2009,CATALINA ISLAND,C,3.8562063030712803
2009,CHARLESTON (COOS BAY),O,0.7082601681422351
2009,CRESCENT CITY,C,0.8213717585751527
2009,DANA POINT,C,3.9444658189715502
2009,DILLON BEACH,C,0.7512587742086719
2009,EUREKA,C,0.4439119193307356
2009,FORT BRAGG,C,0.21861641046363176
2009,GARIBALDI (TILLAMOOK),O,NA
2009,GAVIOTA,C,3.491984473838115
2009,GOLETA,C,3.5876283058611476
2009,GUADALUPE,C,3.781042430905424
2009,HUMBOLDT,C,0.5590955184705076
2009,HUNTINGTON BEACH,C,4.0909174089951525
2009,ILWACO,W,NA
2009,LACONNER,W,NA
2009,LONG BEACH,C,4.119943131436207
2009,LOS ANGELES,C,4.317913675787613
2009,MISSION BAY,C,3.289769272359282
2009,MONTEREY,C,1.7016122888701417
2009,MORRO BAY,C,3.8572567131626396
2009,MOSS LANDING,C,1.8551803127743556
2009,"NASELLE",W,NA
2009,"NATIONAL CITY",C,3.4315120141191504
2009,NEAH BAY,W,NA
2009,NEWPORT,O,NA
2009,NEWPORT BEACH,C,4.055985062924386
2009,OCEANSIDE,C,3.6635478882227
2009,OXNARD,C,4.131207566210331
2009,PLAYA DEL REY,C,4.119943131436207
2009,POINT LOMA,C,3.257178878726897
2009,PORT HUENEME,C,4.089906247617721
2009,PRINCETON / HALF MOON BAY,C,1.2955025779352611
2009,REDONDO BEACH,C,4.124381853864177
2009,SAN DIEGO,C,3.1823980441749837
2009,SAN FRANCISCO,C,1.4161259777439648
2009,SAN PEDRO,C,4.077572262380307
2009,SAN SIMEON,C,3.1990959292140313
2009,SANTA BARBARA,C,3.926428314427495
2009,SANTA CRUZ,C,1.5523793315413312
2009,SANTA MONICA,C,4.262054864810366
2009,SEAL BEACH,C,4.136687928924904
2009,TACOMA,W,NA
2009,TERMINAL ISLAND,C,4.095068392476566
2009,VALLEJO,C,1.7702916177897916
2009,VENTURA,C,4.149185819760462
2009,WESTPORT,W,NA
2009,WILLOW CREEK,C,0.9414623957363216
2009,WILMINGTON,C,4.119943131436207
2009,WINCHESTER BAY,O,1.1825782558340534
2010,ABERDEEN,W,NA
2010,ALAMEDA,C,0.746603305808442
2010,ANACORTES,W,NA
2010,ASTORIA,O,NA
2010,AVALON,C,2.0323521134382987
2010,AVILA,C,0.8557165436918789
2010,BELLINGHAM BAY,W,NA
2010,BERKELEY,C,0.7741264320087468
2010,BODEGA BAY,C,0.3089207793141282
2010,CATALINA ISLAND,C,2.0409892183429394
2010,CHARLESTON (COOS BAY),O,1.0988267158749143
2010,CRESCENT CITY,C,1.0975122201770329
2010,DANA POINT,C,2.203635845796378
2010,DILLON BEACH,C,0.3471510843941069
2010,EUREKA,C,0.6142701222493678
2010,FORT BRAGG,C,0.119542073488758
2010,GARIBALDI (TILLAMOOK),O,NA
2010,GAVIOTA,C,1.5577081359598823
2010,GOLETA,C,1.850966487654827
2010,GUADALUPE,C,1.086872769453993
2010,HUMBOLDT,C,0.7642171221859951
2010,HUNTINGTON BEACH,C,2.212181059746772
2010,ILWACO,W,NA
2010,LACONNER,W,NA
2010,LONG BEACH,C,2.198608791780199
2010,LOS ANGELES,C,2.351888388805101
2010,MISSION BAY,C,2.051787430004661
2010,MONTEREY,C,0.44028453133784334
2010,MORRO BAY,C,0.7590671960242564
2010,MOSS LANDING,C,0.5904175410983402
2010,"NASELLE",W,NA
2010,"NATIONAL CITY",C,2.1584370678459215
2010,NEAH BAY,W,NA
2010,NEWPORT,O,NA
2010,NEWPORT BEACH,C,2.242139298487027
2010,OCEANSIDE,C,2.166920901067077
2010,OXNARD,C,2.284492826496948
2010,PLAYA DEL REY,C,2.198608791780199
2010,POINT LOMA,C,2.0463229863174566
2010,PORT HUENEME,C,2.238139043639307
2010,PRINCETON / HALF MOON BAY,C,0.594889421605934
