"LANDING_YEAR","PORT_AREA_CODE","ROUND_WEIGHT_MTONS","LANDING_MONTH"
2015,"NPA",828.28,12
2015,"TLA",80.81,12
2015,"XXX",0,12
2015,"CLW",796.87,12
2015,"CWA",938.21,12
2015,"NPS",381.83,12
2015,"SPS",49.79,12
2015,"WA5",0,12
2015,"XXX",0,12
2016,"BDA",0,12
2016,"BGA",0,12
2016,"CCA",0,12
2016,"ERA",0,12
2016,"MNA",0,12
2016,"MRA",0,12
2016,"SFA",0,12
2016,"XXX",0,12
2016,"BRA",0,12
2016,"CBA",0,12
2016,"CLO",0,12
2016,"NPA",0,12
2016,"TLA",0,12
2016,"XXX",0,12
2016,"CLW",0,12
2016,"CWA",156.93,12
2016,"NPS",433.15,12
2016,"SPS",56.08,12
2016,"WA5",0,12
2016,"XXX",0,12
2017,"BDA",604.29,12
2017,"BGA",0,12
2017,"CCA",2246.65,12
2017,"ERA",720.81,12
2017,"MNA",32.42,12
2017,"MRA",30.67,12
2017,"SBA",0,12
2017,"SFA",689.74,12
2017,"XXX",0,12
2017,"BRA",667.23,12
2017,"CBA",0,12
2017,"CLO",0,12
2017,"NPA",0,12
2017,"TLA",0,12
2017,"XXX",0,12
2017,"CLW",0,12
2017,"CWA",571.41,12
2017,"NPS",382.19,12
2017,"SPS",24.74,12
2017,"WA5",67.95,12
2017,"XXX",0,12
2018,"BDA",285.36,12
2018,"BGA",0,12
2018,"CCA",0,12
2018,"ERA",0,12
2018,"MNA",33.7,12
2018,"MRA",11.86,12
2018,"SBA",0,12
2018,"SFA",320.65,12
2018,"XXX",0,12
2018,"BRA",0,12
2018,"CBA",0.67,12
2018,"CLO",0,12
2018,"NPA",0,12
2018,"TLA",0,12
2018,"XXX",0,12
2018,"CLW",0,12
2018,"CWA",616.65,12
2018,"NPS",339.84,12
2018,"SPS",38.94,12
2018,"WA5",34.89,12
2018,"XXX",0,12
2019,"BDA",165.42,12
2019,"BGA",0,12
2019,"CCA",0,12
2019,"ERA",0,12
2019,"MNA",15.11,12
2019,"MRA",11.62,12
2019,"SBA",0,12
2019,"SFA",245.54,12
2019,"XXX",0,12
2019,"BRA",0,12
2019,"CBA",0,12
2019,"CLO",0,12
2019,"NPA",0,12
2019,"TLA",0,12
2019,"XXX",2.86,12
2019,"CLW",0,12
2019,"CWA",0,12
2019,"NPS",189,12
2019,"SPS",19.2,12
2019,"WA5",46.58,12
2019,"XXX",0,12
2020,"BDA",668.94,12
2020,"BGA",0,12
2020,"CCA",79.08,12
2020,"ERA",98.88,12
2020,"MNA",30.74,12
2020,"MRA",4.79,12
2020,"SBA",0,12
2020,"SFA",1577.36,12
2020,"XXX",0,12
2020,"BRA",78.51,12
2020,"CBA",29.2,12
2020,"CLO",10.41,12
2020,"NPA",27.72,12
2020,"TLA",0,12
2020,"XXX",0,12
2020,"CLW",0,12
2020,"CWA",560,12
2020,"NPS",172.08,12
2020,"SPS",24.89,12
2020,"WA5",20.82,12
2020,"XXX",0,12
2021,"BDA",0,12
2021,"BGA",0,12
2021,"CCA",0,12
2021,"ERA",7.52,12
2021,"MNA",0,12
2021,"MRA",0,12
2021,"SBA",0,12
2021,"SFA",0,12
2021,"XXX",0,12
2021,"BRA",0,12
2021,"CBA",0,12
2021,"CLO",0,12
2021,"NPA",10.3,12
2021,"TLA",72.07,12
2021,"XXX",0,12
2021,"CLW",0,12
2021,"CWA",194.77,12
2021,"NPS",364.2,12
2021,"SPS",39.22,12
2021,"WA5",39.08,12
2021,"XXX",0,12
2022,"BDA",65.82,12
2022,"BGA",91.41,12
2022,"CCA",1597.63,12
2022,"ERA",976.01,12
2022,"MNA",10.27,12
2022,"MRA",0,12
2022,"SBA",0,12
2022,"SFA",287.76,12
2022,"XXX",0,12
2022,"BRA",904.43,12
2022,"CBA",1218.66,12
2022,"CLO",1306.24,12
2022,"NPA",1926.26,12
2022,"TLA",226.21,12
2022,"XXX",0,12
2022,"CLW",1093.23,12
2022,"CWA",1728.15,12
2022,"NPS",147.13,12
2022,"SPS",9.74,12
2022,"WA5",12.81,12
2022,"XXX",0,12
2000,"BDA",13.64,1
2000,"BGA",40.87,1
2000,"CA2",0,1
2000,"CCA",311.18,1
2000,"ERA",114.8,1
2000,"LAA",0,1
2000,"MNA",1.87,1
2000,"MRA",0,1
2000,"SFA",20.98,1
2000,"XXX",0,1
2000,"BRA",184.59,1
2000,"CBA",323.73,1
2000,"CLO",385.14,1
2000,"NPA",639.64,1
2000,"TLA",65.83,1
2000,"XXX",0,1
2000,"CLW",178.48,1
2000,"CWA",1281.18,1
2000,"NPS",215.66,1
2000,"SPS",110.2,1
2000,"WA5",0,1
2000,"XXX",0,1
2001,"BDA",41.68,1
2001,"BGA",23.58,1
2001,"CA2",0,1
2001,"CCA",88.52,1
2001,"ERA",49.61,1
2001,"LAA",0,1
2001,"MNA",1.23,1
2001,"MRA",0,1
2001,"SFA",28.52,1
2001,"XXX",0,1
2001,"BRA",45.26,1
2001,"CBA",82.32,1
2001,"CLO",426.03,1
2001,"NPA",142.38,1
2001,"TLA",31.91,1
2001,"XXX",0,1
2001,"CLW",139.82,1
2001,"CWA",937.34,1
2001,"NPS",198.95,1
2001,"SPS",113.19,1
2001,"XXX",0,1
2002,"BDA",47.55,1
2002,"BGA",27.37,1
2002,"CCA",97.51,1
2002,"ERA",56.88,1
2002,"LAA",0,1
2002,"MNA",7.45,1
2002,"MRA",0,1
2002,"SBA",0,1
2002,"SFA",113.54,1
2002,"XXX",0,1
2002,"BRA",64.03,1
2002,"CBA",365.68,1
2002,"CLO",814.09,1
2002,"NPA",534.02,1
2002,"TLA",91.48,1
2002,"XXX",0,1
2002,"CLW",364.25,1
2002,"CWA",1358.41,1
2002,"NPS",194.4,1
2002,"SPS",35.08,1
2003,"BDA",79.77,1
2003,"BGA",106.62,1
2003,"CCA",1072.79,1
2003,"ERA",1246.11,1
2003,"LAA",0,1
2003,"MNA",12.9,1
2003,"MRA",1.98,1
2003,"SBA",0,1
2003,"SFA",115.5,1
2003,"XXX",0,1
2003,"BRA",260.87,1
2003,"CBA",718.8,1
2003,"CLO",963.98,1
2003,"NPA",1114.16,1
2003,"TLA",180.67,1
2003,"XXX",0,1
