"VESSEL_NUM","LANDING_MONTH","LANDING_YEAR","LAT","DISTANCE_A","LANDED_WEIGHT_LBS","AFI_EXVESSEL_REVENUE","Percentage","diversity"
"AK9671AF",4,2010,35.9648091080003,415289.221341942,694007,102842.61087,1,1.66471588114132
"AK9671AF",4,2011,36.812905,0,98575,28537.4625,1,1
"AK9671AF",5,2010,36.812905,0,69073,20411.0715,1,1
"AK9671AF",5,2011,36.606225,0,29096,8423.292,1,1
"AK9671AF",7,2007,46.187,0,351208,19033.33443,1,1.00187384051229
"AK9671AF",7,2009,36.812905,0,1028851,85356.89344,1,1
"AK9671AF",7,2010,35.650695209987,356197.374577299,196319,21521.60778,1,1.99000656709854
"AK9671AF",8,2007,46.187,0,1295282,87572.19246,1,1.00331438231196
"AK9671AF",8,2010,34.311203,0,123274,36259.6821,1,1
"AK9671AF",9,2007,46.187,0,1039853,70959.07872,1,1.05095415734398
"AK9671AF",9,2009,36.4927080140944,237630.665077178,503325,46415.76732,1,1.2873651067054
"AK9671AF",9,2010,34.1500980002938,101579.720405958,496768,70202.74467,1,1.67750061156694
"AK9671AF",9,2011,34.1090782956366,94420.0749410173,408014,112808.7702,0.688324099822515,1
"AK9680AN",11,2018,34.154072,0,10977,5653.155,1,1
