year,month,port,SDM_60,SDM_90,SDM_120
2003,9,LAA,0.21086705549750276,0.1709015740106112,0.15031822646433884
2003,9,SDA,0.1786157169068853,0.13179312825919157,0.11474767261972092
2003,9,CA2,NA,NA,NA
2003,10,NPS,NA,NA,NA
2003,10,SPS,NA,NA,NA
2003,10,CWA,0.30602993417651425,0.23873581016459958,0.19562238811420804
2003,10,CLW,0.37416666516861546,0.2661563477218987,0.20624093179792716
2003,10,WA5,NA,NA,NA
2003,10,CLO,0.38670018975395487,0.2722712775290865,0.2082739534130091
2003,10,TLA,0.2939705799896682,0.22150652850627578,0.1859967553818468
2003,10,NPA,0.28235277281172816,0.20080122302319617,0.1553774785750595
2003,10,CBA,0.2352276534544036,0.1758519525204729,0.14367026511512485
2003,10,BRA,0.2058998601439406,0.16870234276909238,0.13938433143694867
2003,10,OR1,NA,NA,NA
2003,10,CCA,0.2417459706852182,0.18799511981323805,0.1464138684133368
2003,10,ERA,0.24567583464168932,0.18947930809466562,0.14669113793520358
2003,10,BGA,0.19517732821404934,0.16337425789826768,0.13802127404690417
2003,10,BDA,0.38803181187066127,0.30536451171244405,0.23272838498417567
2003,10,SFA,0.4809995727645378,0.39008022857342567,0.30810645081760485
2003,10,MNA,0.391751729690758,0.3184425485752698,0.24482615969873553
2003,10,MRA,0.3274529488895817,0.26359023504789447,0.2054723076981464
2003,10,SBA,0.1611054648134497,0.15811162275143772,0.1659797370195834
2003,10,LAA,0.09022092017559305,0.09002720959037959,0.10030682215077893
2003,10,SDA,0.08884363723048594,0.06662201346530999,0.056716092820897145
2003,10,CA2,NA,NA,NA
2003,11,NPS,NA,NA,NA
2003,11,SPS,NA,NA,NA
2003,11,CWA,0.31310510920981566,0.22928491946915355,0.1818096906277906
2003,11,CLW,0.36815046523377376,0.2542330508561274,0.1912480210626916
2003,11,WA5,NA,NA,NA
2003,11,CLO,0.3653693983796984,0.2579353862710184,0.19410320291421146
2003,11,TLA,0.2626654127012185,0.1908467504931479,0.15875091907201677
2003,11,NPA,0.24091952364854138,0.1751880462069551,0.13741017436795055
2003,11,CBA,0.17443817728174427,0.14147269142586125,0.11746619071738465
2003,11,BRA,0.19173427921749892,0.15734543749067473,0.1292102050461361
2003,11,OR1,NA,NA,NA
2003,11,CCA,0.24144890709612213,0.1849184764045267,0.14280804773385422
2003,11,ERA,0.24820335436740826,0.19878613052277821,0.1553906648793316
2003,11,BGA,0.1999730521792339,0.16181660676492624,0.13100959626855171
2003,11,BDA,0.2560972258080671,0.20993967562831795,0.160360584247863
2003,11,SFA,0.34998633851315464,0.25316618985668926,0.1879572895687285
2003,11,MNA,0.20976251182088881,0.161778213649904,0.12506646421450418
2003,11,MRA,0.2007034531585416,0.1516888604578421,0.12349429373382631
2003,11,SBA,0.15345418203829064,0.16661508545230808,0.1621900066017664
2003,11,LAA,0.07674332827890432,0.07368164423198055,0.07750225148832163
2003,11,SDA,0.05782083224012763,0.04861977848302563,0.04451097540784245
2003,11,CA2,NA,NA,NA
2003,12,NPS,NA,NA,NA
2003,12,SPS,NA,NA,NA
2003,12,CWA,0.42014954913047053,0.3068649371886015,0.2375005833589645
2003,12,CLW,0.44236850428370655,0.3045049529621058,0.23153519709965484
2003,12,WA5,NA,NA,NA
2003,12,CLO,0.43573217681493215,0.30163757713649963,0.23129457515346713
2003,12,TLA,0.28439981030376105,0.20289755279856617,0.17419467858177332
2003,12,NPA,0.2631185364546227,0.1882948198066675,0.14951521095198386
2003,12,CBA,0.22563315850920512,0.17147094539444097,0.14014264283029826
2003,12,BRA,0.21924244629705672,0.16718358551166454,0.13258811806478332
2003,12,OR1,NA,NA,NA
2003,12,CCA,0.2436346591882199,0.18195305276851612,0.14292246783603513
2003,12,ERA,0.2292286991758129,0.17549936545776773,0.13349129034942617
2003,12,BGA,0.16780323170285713,0.1309667880915903,0.10429544768039292
2003,12,BDA,0.21488156980137244,0.1679860502729747,0.11984227390556272
2003,12,SFA,0.25705655538379807,0.18490737427132853,0.13372074955237784
2003,12,MNA,0.13484919834392436,0.10162556140508937,0.07914578051358778
2003,12,MRA,0.18291360255357778,0.12802910631921285,0.09905949777039962
2003,12,SBA,0.2413625954800556,0.18815489471957775,0.15020740086776016
2003,12,LAA,0.12190443998770585,0.1040915488063199,0.096114182193563
2003,12,SDA,0.08192093226358345,0.06513781938027682,0.06049336420212807
2003,12,CA2,NA,NA,NA
2004,1,NPS,NA,NA,NA
2004,1,SPS,NA,NA,NA
2004,1,CWA,0.2688208426362446,0.22005380845887795,0.18605950325951418
2004,1,CLW,0.42257282033722887,0.28122788590972075,0.1988864061384629
2004,1,WA5,NA,NA,NA
2004,1,CLO,0.4247432880871822,0.2908227463756512,0.20602384570494695
2004,1,TLA,0.2709559984170275,0.20017844538466484,0.16716362357993483
2004,1,NPA,0.19441826903112852,0.1504687579471899,0.12368691467836862
2004,1,CBA,0.19264220582112418,0.14285020935038162,0.11095485138670237
2004,1,BRA,0.12288337681756493,0.09884393574467067,0.0807539217356209
2004,1,OR1,NA,NA,NA
2004,1,CCA,0.135669869917929,0.10116235143562811,0.07827437509298939
2004,1,ERA,0.09693998733205976,0.07678875740947982,0.058775449151135174
2004,1,BGA,0.06015119907065665,0.0491170985017082,0.04070041079860282
2004,1,BDA,0.12689713987198034,0.10104787032229424,0.07139487118474779
2004,1,SFA,0.1642228880476567,0.11883485057127519,0.08595743827125303
2004,1,MNA,0.0886856116150843,0.06639808804260647,0.051433062079153935
2004,1,MRA,0.07577740550507167,0.054787406613476725,0.044449624831066445
2004,1,SBA,0.14522857305353448,0.10369475126198147,0.07729228444691365
2004,1,LAA,0.05471397934987381,0.04858802949642095,0.0469808500755142
2004,1,SDA,0.04500401745347288,0.034400553066117404,0.029967925324655417
2004,1,CA2,NA,NA,NA
2004,2,NPS,NA,NA,NA
2004,2,SPS,NA,NA,NA
2004,2,CWA,0.41273108680015325,0.30492200273055015,0.2430416110115638
2004,2,CLW,0.4978036010524714,0.33583567864452396,0.24719343047541875
2004,2,WA5,NA,NA,NA
2004,2,CLO,0.49834252340636526,0.3358393004003527,0.2493940446087824
